=== EXTRAITS ALÉATOIRES BDPM (100 lignes/fichier) ===
Généré le : 2025-11-24 10:02:57.275181


==================================================
FICHIER : CIS_COMPO_bdpm.txt
Lignes totales : 32563 | Extraites : 200
==================================================

69167489	comprimé	23247	IVABRADINE	7,5 mg	un comprimé	FT	1
60020616	granules	17378	FICUS CARICA MACÉRAT GLYCÉRINÉ POUR PRÉPARATIONS HOMÉOPATHIQUES	4DH à 6DH	un comprimé	SA	17
66823618	solution	16860	ÉPOÉTINE BÊTA 	10 000 UI	une seringue préremplie de 0,6 mL de solution injectable	SA	1
60812935	comprimé	00196	LÉVONORGESTREL	1,5 mg	un comprimé	SA	1
68894934	solution buvable en gouttes	48226	LOBELIA ERINUS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	19
65320254	comprimé	10171	SIMVASTATINE	40 mg	un comprimé	SA	1
61749726	poudre orale	61206	EUPHORBIA PILULIFERA POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 7DH à 60DH	une dose	SA	23
69655937	solution buvable en ampoules	27302	ASPARAGUS OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	25
63980799	comprimé	26335	BOVISTA GIGANTEA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	1 mL de solution	SA	18
61485148	comprimé	01807	ÉTHINYLESTRADIOL	0,020 mg	un comprimé	SA	2
68415622	granules	24475	PLUMBUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 7DH à 60DH	une capsule	SA	14
69655937	comprimé	27302	ASPARAGUS OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	18
66487879	solution buvable en ampoules	82582	KALIUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	25
62746359	comprimé	66240	RILMÉNIDINE	1 mg	un comprimé	FT	1
60448937	comprimé	17098	TÉRIFLUNOMIDE	14 mg	un comprimé	SA	1
65418143	émulsion	03455	ACÉTATE DE POTASSIUM	2,747 g	1000 ml d'émulsion après mélange	SA	20
61104024	poudre	57675	HAEMOPHILUS TYPE B (POLYOSIDE) CONJUGUÉ À LA PROTÉINE TÉTANIQUE	10 microgrammes	une dose de 0,5 mL de vaccin reconstitué	SA	1
63211078	solution buvable en ampoules	00113	ALOE POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	1 flacon	SA	25
62526943	granules	62576	ILEX PARAGUARIENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	17
64198541	comprimé	42470	LÉFLUNOMIDE	10 mg	un comprimé	SA	1
63389223	comprimé	81461	CINACALCET	90 mg	un comprimé	FT	1
67647055	gel	00037	DICLOFÉNAC SODIQUE	1 g	100 g de gel	FT	1
61793701	comprimé	35854	AILANTHUS GLANDULOSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un sachet	SA	18
67284839	pommade	55261	BADIAGA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %)	un comprimé	SA	25
67705779	granulés	00670	TRIMÉBUTINE	0,7870 g	100 g	SA	1
68513504	solution	00489	CHLORPROMAZINE (CHLORHYDRATE DE)	4,458 g	100 ml	SA	1
64983766	comprimé	32627	RIZATRIPTAN	10 mg	un comprimé	FT	6
68599161	comprimé	03012	MAGNÉSIUM (OXYDE DE)	69 mg de magnésium	un comprimé	SA	17
62617147	solution	85999	HORMONE LUTÉINISANTE HUMAINE 	1200 UI	1,92 mL de solution	FT	1
67050747	comprimé	79270	CHLORHYDRATE DE RALOXIFÈNE	60 mg	un comprimé	SA	1
66092483	comprimé	42470	LÉFLUNOMIDE	10 mg	un comprimé	SA	1
64912872	solution	46352	DARBÉPOÉTINE ALFA 	200 microgrammes	1 ml	SA	1
69063120	émulsion	01021	GLYCINE	3,95 g	1000 ml d'émulsion reconstituée	SA	5
64087306	gélule	02076	HYDROXYCARBAMIDE	500 mg	une gélule	SA	1
68225911	poudre	43939	ÉFANÉSOCTOCOG ALFA 	2000 UI	un flacon	SA	1
61258225	solution	95404	GADOTÉRIDOL	279,3 mg	1 mL de solution injectable	SA	1
68937339	comprimé	16951	CHLORHYDRATE D'ONDANSÉTRON DIHYDRATÉ			SA	1
65542326	gélule	13835	CLOXACILLINE	500 mg	une gélule	FT	1
63903849	comprimé	39396	FUMARATE DE FÉSOTÉRODINE	8 mg	un comprimé	SA	1
67403357	gélule	24381	BUDÉSONIDE	200 microgrammes	une gélule	SA	1
65440047	poudre orale	08605	TEREBINTHINA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	un comprimé	SA	23
63802451	solution	66548	FLUDÉSOXYGLUCOSE [18F]	185 MBq (à la date et à l'heure de calibration)	1 ml	SA	1
63529999	granules	96544	CHAMOMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES	3 CH	1 ml de solution injectable	SA	2
64547270	granules	10622	SANGUINARIA CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	100 ml	SA	19
61911046	comprimé	19809	ATORVASTATINE	20 mg	un comprimé	FT	1
64886840	solution	97992	IOBENGUANE (123I)	74 Mq à la date et à l'heure de calibration	un flacon de 1 ml	SA	1
60003620	suspension	04179	DIPROPIONATE DE BÉCLOMÉTASONE	800 microgrammes	2 ml de suspension	SA	1
69497921	comprimé	05765	TIAPRIDE (CHLORHYDRATE DE)	111,13 mg	un comprimé	SA	1
64353988	solution	69540	SUGAMMADEX	100 mg	1 mL de solution	FT	1
66433778	gélule	04773	OMÉPRAZOLE	20 mg	une gélule	SA	2
63333712	gélule	00511	SULFATE FERREUX HEPTAHYDRATÉ	2,5 mg	une gélule	SA	1
65283820	gélule	29335	SUNITINIB	25 mg	une gélule	FT	1
67978361	comprimé	85939	CHLORHYDRATE DE SITAGLIPTINE MONOHYDRATÉ			SA	1
63295400	suspension	04179	DIPROPIONATE DE BÉCLOMÉTASONE	50 microgrammes	une dose	FT	1
60264410	crème	25715	ACICLOVIR	5 g	100 g de crème	SA	1
65106581	solution	02596	IOHEXOL	647,00 mg	1 ml de solution	SA	1
61299147	comprimé	60255	LISINOPRIL DIHYDRATÉ			SA	1
63855240	gel	00037	DICLOFÉNAC SODIQUE	1 g	100 g de gel	FT	1
65934455	pansement	05431	LIDOCAÏNE	0,0250 g	1 g d'émulsion pour un pansement adhésif cutané de 10 cm²	SA	1
68144936	gélule	64851	TAMSULOSINE	0,367 mg	une gélule	FT	2
63833685	solution	51742	ALBUMINE HUMAINE 	50 mg	1 ml de solution	SA	1
60215018	solution	77470	BUROSUMAB 	10 mg	un flacon de 1 mL de solution	SA	1
67900409	solution	00264	CHLORHYDRATE DE TRIHEXYPHÉNIDYLE	0,400 g	100 ml	SA	1
62427265	compartiment 1 : solution d'AA et d'électrolytes	44707	GLYCÉROPHOSPHATE DE SODIUM ANHYDRE	4,2 g	1000 ml	FT	18
67360094	solution buvable en gouttes	26014	RHUS VERNIX POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	un comprimé	SA	19
62632284	solution buvable en gouttes	31130	VERTEBRES LOMBAIRES POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	1 mL	SA	19
61018493	solution buvable en gouttes	61852	FUCUS CRISPUS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	une gélule	SA	19
65503782	comprimé	89971	ESCITALOPRAM	20 mg	un comprimé	FT	1
60435263	comprimé	35029	FROVATRIPTAN BASE	2,50 mg	un comprimé	FT	1
64860564	gélule	27299	DI(OXO-5-PYRROLIDONE CARBOXYLATE-2) DE ZINC	25,00 mg	une gélule	SA	8
67392156	comprimé	79270	CHLORHYDRATE DE RALOXIFÈNE	60 mg	un comprimé	SA	1
61484295	pommade	23144	PAREIRA BRAVA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH (pommade à 4%)	un flacon	SA	24
62842642	granules	56283	BISMUTHUM POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	un comprimé	SA	19
66504912	solution buvable en gouttes	14804	TEUCRIUM MARUM POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	1 ml de solution injectable	SA	19
66296817	solution	08351	ÉNOXAPARINE SODIQUE 	80 mg	une seringue préremplie de 0,8 mL	SA	1
61117445	compartiment 1	00901	CHLORURE DE SODIUM	2,24 g	un compartiment n°1 de 1000 ml	SA	18
62820471	gélule	71030	NILOTINIB	150 mg	une gélule	FT	1
62217822	solution	00900	BORAX	12 mg	1 mL de solution	SA	1
